timestamp;pwmL;speedL;encoderR;hdg;ax;encoderL;wz;pwmR;speedR;
1602776099.68;55;0.0;0;3.17876739114;-0.019775390625;3;0.129699707031;55;0.0;
1602776099.8;55;0;1;348.167983232;-0.082763671875;4;-0.999450683594;55;0;
1602776099.91;55;31;2;346.330192825;0.25;6;-4.47845458984;55;24;
1602776100.01;55;33;3;359.210520923;0.257568359375;7;-4.66156005859;55;30;
1602776100.12;55;46;5;356.411769193;-0.162109375;10;-16.6015625;55;35;
1602776100.23;55;45;7;355.865401386;0.29345703125;12;-6.42395019531;55;39;
1602776100.33;55;42;9;1.18263881054;-0.4365234375;14;-5.23376464844;55;45;
1602776100.44;55;38;12;3.7862316362;-0.378662109375;16;8.056640625;55;51;
1602776100.55;55;45;14;359.91022292;-0.180908203125;18;-10.3302001953;55;48;
1602776100.66;55;47;17;356.411769193;-0.09521484375;20;-3.80706787109;55;55;
1602776100.76;55;52;20;5.06962675586;-0.745849609375;23;3.81469726562;55;55;
1602776100.87;55;55;22;1.96500901349;-0.536865234375;26;-15.9301757812;55;51;
1602776100.97;55;59;25;6.34881700278;0.55517578125;29;-16.3345336914;55;52;
1602776101.09;55;56;27;3.17876739114;0.058837890625;32;-3.43322753906;55;52;
1602776101.2;55;48;30;358.595801097;0.1201171875;35;-9.37652587891;55;55;
1602776101.31;55;47;33;357.697282069;0.154052734375;37;27.8701782227;55;62;
1602776101.42;55;51;36;5.32442990454;-0.093017578125;40;1.64031982422;55;53;
1602776101.54;55;57;39;2.96628338576;-0.009033203125;43;1.74713134766;55;53;
1602776101.65;55;56;42;1.26633727525;0.208251953125;46;-11.0473632812;55;66;
1602776101.75;55;56;45;4.16007179456;-0.08056640625;49;-25.0778198242;55;55;
1602776101.86;55;53;48;359.280883125;-0.09521484375;52;-0.9765625;55;49;
1602776101.97;55;52;50;3.70302497197;-0.334716796875;54;3.18908691406;55;58;
1602776102.1;55;46;54;357.074650974;0.014892578125;57;22.6364135742;55;52;
1602776102.2;55;44;56;358.491513251;-0.10791015625;59;-8.62884521484;55;50;
1602776102.31;55;53;59;355.249268437;0.068115234375;62;5.33294677734;55;56;
1602776102.41;55;58;62;359.280883125;0.249755859375;65;-7.15637207031;55;57;
1602776102.52;55;53;64;359.926587025;-0.404541015625;68;-17.4331665039;55;54;
1602776102.63;55;63;67;357.212494413;-0.504150390625;71;-20.4162597656;55;53;
1602776102.73;55;62;70;357.700227955;0.540283203125;73;17.578125;55;57;
1602776102.84;55;43;73;357.396526046;0.610595703125;76;24.6353149414;55;62;
1602776102.95;55;48;75;355.661359871;-0.245849609375;78;15.6784057617;55;55;
1602776103.05;55;52;78;359.210520923;0.090576171875;81;5.02014160156;55;66;
1602776103.16;55;55;81;359.907942924;-0.063720703125;83;-1.70135498047;55;55;
1602776103.27;55;52;84;358.562678118;0.235595703125;86;-8.01849365234;55;55;
1602776103.38;55;56;86;0.697454445476;-0.085693359375;89;-10.3225708008;55;48;
1602776103.48;55;55;89;3.87325771878;-0.765380859375;92;-8.46862792969;55;64;
1602776103.59;55;47;91;353.795543853;-0.6337890625;94;21.110534668;55;51;
1602776103.69;55;40;94;353.258864314;-0.267822265625;96;23.5748291016;55;65;
1602776103.81;55;46;97;355.796506522;0.012451171875;99;-8.35418701172;55;55;
1602776103.91;55;55;100;358.370496533;-0.11669921875;101;2.12860107422;55;54;
1602776104.02;55;52;102;359.907942924;-0.252197265625;104;-5.02014160156;55;49;
1602776104.13;55;55;105;349.035119364;-0.09033203125;107;-7.94219970703;55;47;
1602776104.24;55;54;107;347.825915817;0.53955078125;109;-28.3050537109;55;46;
1602776104.35;55;53;110;349.571164153;0.703125;112;6.94274902344;55;53;
1602776104.45;55;44;112;350.878129713;-0.1484375;114;9.33074951172;55;51;
1602776104.56;55;36;115;354.48072917;0.37646484375;116;21.0037231445;55;49;
1602776104.67;55;45;118;349.908036323;-0.61328125;118;-1.41143798828;55;48;
1602776104.78;55;47;120;353.058830449;0.19873046875;121;0.717163085938;55;49;
1602776104.88;55;49;123;347.879932701;0.465087890625;123;0.373840332031;55;44;
1602776104.99;55;53;125;349.517127828;0.19287109375;126;-9.07135009766;55;45;
1602776105.11;55;53;128;357.754969303;0.023193359375;129;-30.8074951172;55;46;
